seg	lat	lon	eleGPX	ele	eleShift	wind	grade	dist	radius	course	pTarget	pRider	pBrake	vMax	vTarget	vEntry	vExit	segTime	cumTime	cumDist	calcPath	calcSteps
1327	38.112388	-5.527060	386.00	385.20	-0.80	-5.40	3.26	24.50	0	57	113	122	0	80.00	10.89	9.71	10.89	8.24	2.703	43.696	14	1
1328	38.112507	-5.526825	386.00	386.00	0.00	-8.68	1.54	16.25	56	30	95	118	0	80.00	18.93	10.89	14.24	4.59	2.705	43.720	1	3
1329	38.112634	-5.526733	386.25	386.25	0.00	-9.14	2.16	88.71	0	24	101	113	0	48.63	17.02	14.24	17.02	19.43	2.707	43.736	14	2
1330	38.113364	-5.526322	389.50	388.17	-1.33	-7.97	-0.77	24.38	76	37	0	60	0	38.07	33.75	17.02	19.56	4.75	2.712	43.825	1	2
1331	38.113539	-5.526154	390.25	387.98	-2.27	-4.89	-4.96	28.40	0	61	-286	0	0	41.48	41.48	19.56	26.00	4.48	2.713	43.849	10	4
1332	38.113664	-5.525872	389.50	386.57	-2.93	-4.67	-4.96	102.31	0	62	-275	0	0	41.48	41.48	26.00	39.34	11.13	2.714	43.878	10	8
1333	38.114094	-5.524842	381.50	381.50	0.00	-4.88	-1.98	29.35	0	61	0	0	0	80.00	39.00	39.34	39.32	2.70	2.718	43.980	20	1
1334	38.114223	-5.524550	380.25	380.92	0.67	-6.53	1.47	21.08	75	49	94	0	0	80.00	16.70	39.32	37.42	1.98	2.718	44.010	20	2
1335	38.114347	-5.524368	380.50	381.23	0.73	-8.79	1.47	35.49	0	28	94	0	0	80.00	19.43	37.42	34.70	3.56	2.719	44.031	20	2
1336	38.114628	-5.524175	381.75	381.75	0.00	-6.40	2.58	19.42	57	50	105	0	0	80.00	12.84	34.70	32.11	2.10	2.720	44.066	20	2
1337	38.114740	-5.524005	382.25	382.25	0.00	-3.87	1.21	51.94	0	67	95	0	0	80.00	17.81	32.11	26.45	6.41	2.720	44.086	20	4
1338	38.114921	-5.523459	381.75	382.88	1.13	-2.33	3.23	30.96	94	77	121	0	0	80.00	11.10	26.45	18.77	4.96	2.722	44.137	20	5
1339	38.114986	-5.523116	383.25	383.88	0.63	2.01	3.23	19.35	39	102	134	114	0	80.00	10.19	18.77	14.47	4.26	2.724	44.168	2	3
1340	38.114951	-5.522900	384.50	384.50	0.00	6.24	2.01	12.46	30	129	137	116	0	80.00	9.08	14.47	11.10	3.56	2.725	44.188	2	2
