lat	lon	ele	eleGPX	wind	grade	dist	cumDist	radius	course	powerTarget	powerRider	powerBrake	velTarget	velMax	velEntry	velExit	segTime	cumTime	calcPath	segment
36.493560	-4.951370	7.00	7.00	0.00	0.00	4.79	0.886	0	0	90	72	0	20.00	80.00	20.67	20.56	0.84	0.048	3	57
36.493600	-4.951350	7.00	7.00	0.00	0.00	2.39	0.888	0	0	90	72	0	20.00	80.00	20.56	20.51	0.42	0.048	3	58
36.493620	-4.951340	7.00	7.00	0.00	0.00	7.77	0.896	0	0	90	72	0	20.00	80.00	20.51	20.33	1.37	0.049	3	59
36.493690	-4.951340	7.00	7.00	0.00	-0.89	167.92	1.064	0	0	59	66	0	22.14	80.00	20.33	22.14	27.82	0.056	14	60
36.494860	-4.950150	5.50	5.00	0.00	1.24	40.48	1.104	0	0	104	46	0	15.29	80.00	22.14	17.26	7.65	0.058	3	61
36.495140	-4.949860	6.00	6.00	0.00	0.00	18.53	1.123	0	0	90	113	0	20.00	80.00	17.26	18.33	3.75	0.059	1	62
36.495270	-4.949730	6.00	6.00	0.00	-0.79	63.29	1.186	0	0	64	81	0	22.08	80.00	18.33	20.92	11.53	0.063	1	63
36.495710	-4.949280	5.50	5.00	0.00	2.02	74.46	1.260	0	0	110	78	0	13.01	80.00	20.92	13.01	17.36	0.067	34	64
36.496240	-4.948770	7.00	7.00	0.00	0.00	9.44	1.270	0	0	90	113	0	20.00	80.00	13.01	14.55	2.47	0.068	1	65
36.496310	-4.948710	7.00	7.00	0.00	0.00	24.06	1.294	0	0	90	113	0	20.00	80.00	14.55	16.99	5.47	0.070	1	66
36.496490	-4.948560	7.00	7.00	0.00	0.00	35.37	1.329	0	0	90	112	0	20.00	80.00	16.99	18.89	7.06	0.072	1	67
36.496760	-4.948350	7.00	7.00	0.00	0.00	34.02	1.363	0	0	90	112	0	20.00	80.00	18.89	20.00	6.29	0.073	14	68
36.497030	-4.948170	7.00	7.00	0.00	-0.86	28.43	1.392	0	0	61	76	0	22.12	80.00	20.00	20.88	5.01	0.075	1	69
36.497260	-4.948030	6.76	7.00	0.00	-0.86	8.55	1.400	0	0	61	76	0	22.12	80.00	20.88	21.06	1.47	0.075	1	70
36.497330	-4.947990	6.68	7.00	0.00	-2.15	18.50	1.419	0	0	3	45	0	25.00	80.00	21.06	22.20	3.08	0.076	1	71
36.497480	-4.947900	6.29	6.00	0.00	-2.15	13.34	1.432	0	0	3	45	0	25.00	80.00	22.20	22.87	2.13	0.077	1	72
36.497590	-4.947840	6.00	6.00	0.00	-2.90	34.55	1.467	0	0	0	45	0	30.35	80.00	22.87	25.45	5.14	0.078	1	73
36.497880	-4.947700	5.00	5.00	0.00	0.00	11.42	1.478	0	0	90	0	0	20.00	80.00	25.45	24.22	1.66	0.079	30	74
36.497980	-4.947670	5.00	5.00	0.00	0.00	38.70	1.517	0	0	90	24	0	20.00	80.00	24.22	21.08	6.25	0.080	3	75
36.498310	-4.947530	5.00	5.00	0.00	0.00	9.27	1.526	0	0	90	72	0	20.00	80.00	21.08	20.85	1.59	0.081	3	76
36.498390	-4.947500	5.00	5.00	0.00	0.00	26.51	1.553	0	0	90	72	0	20.00	80.00	20.85	20.21	4.65	0.082	3	77
36.498620	-4.947420	5.00	5.00	0.00	2.65	37.71	1.590	0	0	116	66	0	11.58	80.00	20.21	13.39	8.51	0.084	3	78
36.498950	-4.947320	6.00	6.00	0.00	1.86	32.63	1.623	0	0	109	109	0	13.42	80.00	13.39	13.39	8.77	0.087	4	79
36.499240	-4.947260	6.61	6.00	0.00	1.86	21.26	1.644	0	0	109	109	0	13.42	80.00	13.39	13.39	5.72	0.088	4	80
36.499430	-4.947230	7.00	7.00	0.00	0.00	14.54	1.659	0	0	90	113	0	20.00	80.00	13.39	15.41	3.62	0.089	1	81
36.499560	-4.947210	7.00	7.00	0.00	2.89	34.60	1.693	0	0	118	94	0	11.12	80.00	15.41	11.12	9.60	0.092	34	82
36.499870	-4.947170	8.00	8.00	0.00	0.00	27.80	1.721	0	0	90	113	0	20.00	80.00	11.12	15.78	7.29	0.094	1	83
36.500120	-4.947150	8.00	8.00	0.00	2.14	46.70	1.768	0	0	111	95	0	12.69	80.00	15.78	12.69	12.23	0.097	34	84
36.500540	-4.947120	9.00	9.00	0.00	0.00	43.28	1.811	0	0	90	113	0	20.00	80.00	12.69	17.55	10.07	0.100	1	85
36.500930	-4.947120	9.00	9.00	0.00	2.50	39.97	1.851	0	0	114	92	0	11.88	80.00	17.55	12.77	9.68	0.103	3	86
36.501290	-4.947130	10.00	10.00	0.00	0.00	19.99	1.871	0	0	90	113	0	20.00	80.00	12.77	15.71	5.02	0.104	1	87
36.501470	-4.947140	10.00	10.00	0.00	3.22	31.10	1.902	0	0	120	96	0	10.57	80.00	15.71	11.08	8.54	0.107	3	88
36.501750	-4.947150	11.00	11.00	0.00	0.00	43.36	1.946	0	0	90	112	0	20.00	80.00	11.08	17.10	10.69	0.110	1	89
36.502140	-4.947180	11.00	11.00	0.00	0.00	32.23	1.978	0	0	90	113	0	20.00	80.00	17.10	18.84	6.43	0.111	1	90
36.502430	-4.947200	11.00	10.00	0.00	0.00	50.06	2.028	0	0	90	105	0	20.00	80.00	18.84	20.00	9.19	0.114	14	91
36.502880	-4.947240	11.00	11.00	0.00	1.87	53.54	2.081	0	0	109	77	0	13.39	80.00	20.00	14.24	11.74	0.117	3	92
36.503360	-4.947300	12.00	12.00	0.00	0.00	50.22	2.132	0	0	90	113	0	20.00	80.00	14.24	18.49	10.87	0.120	1	93
36.503810	-4.947360	12.00	12.00	0.00	0.89	55.95	2.188	0	0	101	84	0	16.48	80.00	18.49	16.48	11.69	0.124	34	94
36.504310	-4.947440	12.50	13.00	0.00	0.00	70.73	2.258	0	0	90	113	0	20.00	80.00	16.48	19.98	13.81	0.127	1	95
