seg	lat	lon	eleGPX	ele	eleShift	wind	grade	dist	radius	course	pTarget	pRider	pBrake	vTarget	vMax	vEntry	vExit	segTime	cumTime	cumDist	calcPath	calcSteps
20	37.950219	-5.762181	632.00	632.14	0.14	0.00	3.19	103.48	0	0	125	120	0	10.86	80.00	15.22	10.86	32.33	0.067	0.875	24	4
21	37.951122	-5.762472	636.50	635.45	-1.05	0.00	-1.85	176.66	0	0	25	53	0	23.09	80.00	10.86	23.09	32.70	0.076	0.978	14	8
22	37.952469	-5.763544	633.50	632.17	-1.33	0.00	-2.28	193.34	0	0	12	21	0	24.62	80.00	23.09	24.62	28.44	0.085	1.155	14	2
23	37.953858	-5.764873	627.25	627.76	0.51	0.00	0.25	51.81	0	0	103	39	0	19.01	80.00	24.62	19.98	8.76	0.093	1.348	2	4
24	37.954216	-5.765252	626.75	627.89	1.14	0.00	1.49	179.62	0	0	113	102	0	14.76	80.00	19.98	14.76	42.46	0.095	1.400	24	4
25	37.955319	-5.766750	630.25	630.57	0.32	0.00	2.65	48.05	0	0	121	112	0	11.88	80.00	14.76	11.88	13.42	0.107	1.580	24	3
26	37.955655	-5.767095	632.25	631.84	-0.41	0.00	1.17	47.66	0	0	111	122	0	15.77	80.00	11.88	15.20	12.24	0.111	1.628	1	3
27	37.956035	-5.767348	632.75	632.40	-0.35	0.00	-1.53	47.26	0	0	39	60	0	22.44	80.00	15.20	19.26	9.74	0.114	1.676	1	3
28	37.956441	-5.767510	631.25	631.68	0.43	0.00	0.04	199.61	0	0	101	103	0	19.75	80.00	19.26	19.75	36.45	0.117	1.723	14	2
29	37.958201	-5.767977	631.75	631.76	0.01	0.00	0.47	60.76	0	0	105	95	0	18.17	80.00	19.75	18.26	11.53	0.127	1.922	2	1
30	37.958748	-5.768003	631.25	632.05	0.80	0.00	2.46	351.23	0	0	120	118	0	12.28	80.00	18.26	12.28	99.76	0.130	1.983	24	5
31	37.961900	-5.767664	640.50	640.68	0.18	0.00	2.45	197.68	0	0	120	120	0	12.30	80.00	12.28	12.28	57.94	0.158	2.334	4	1
32	37.963621	-5.767087	645.50	645.53	0.03	0.00	1.88	143.21	0	0	116	118	0	13.69	80.00	12.28	13.69	38.04	0.174	2.532	14	2
33	37.964892	-5.766808	648.50	648.21	-0.29	0.00	0.83	99.44	0	0	108	116	0	16.90	80.00	13.69	16.90	22.42	0.185	2.675	14	3
34	37.965786	-5.766735	649.50	649.04	-0.46	0.00	-1.19	152.35	0	0	56	62	0	22.14	80.00	16.90	21.45	27.52	0.191	2.775	1	3
35	37.967154	-5.766874	648.50	647.23	-1.27	0.00	-1.93	143.83	0	0	22	34	0	23.30	80.00	21.45	23.30	22.49	0.199	2.927	14	3
36	37.968435	-5.766629	644.00	644.46	0.46	0.00	-0.28	37.96	0	0	97	63	0	20.97	80.00	23.30	21.70	6.25	0.205	3.071	2	2
37	37.968769	-5.766536	644.25	644.35	0.10	0.00	0.43	52.90	0	0	105	75	0	18.32	80.00	21.70	18.99	9.76	0.207	3.109	2	2
38	37.969213	-5.766317	644.25	644.58	0.33	0.00	0.77	161.54	0	0	108	104	0	17.11	80.00	18.99	17.11	33.34	0.209	3.162	24	3
39	37.970451	-5.765349	646.25	645.82	-0.43	0.00	-8.27	61.93	0	0	-365	0	0	34.41	34.41	17.11	33.48	8.60	0.219	3.323	10	10
40	37.970949	-5.765036	642.00	640.72	-1.28	0.00	-2.58	478.28	0	0	0	0	0	25.43	39.69	33.48	25.65	62.10	0.221	3.385	20	5
41	37.975145	-5.763804	628.50	628.38	-0.12	0.00	-12.11	76.17	0	0	-647	0	-647	27.33	27.33	25.65	27.33	10.05	0.238	3.864	105	2
42	37.975826	-5.763780	625.25	619.23	-6.02	0.00	-7.25	347.57	0	0	-264	0	-264	35.42	35.42	27.33	35.42	36.02	0.241	3.940	105	6
43	37.978947	-5.763925	594.50	594.11	-0.39	0.00	-6.55	56.45	0	0	-192	0	-192	36.09	36.09	35.42	36.09	5.64	0.251	4.287	105	2
44	37.979452	-5.763862	590.00	590.42	0.42	0.00	-5.12	38.51	0	0	-34	0	0	37.43	37.43	36.09	36.73	3.77	0.253	4.344	10	1
45	37.979754	-5.763647	588.00	588.45	0.45	0.00	-2.94	38.32	0	0	0	0	0	27.78	39.38	36.73	34.79	3.87	0.254	4.382	20	2
46	37.979956	-5.763293	587.75	587.32	-0.43	0.00	-16.08	24.98	0	0	-716	0	-1793	19.70	19.70	34.79	21.60	3.20	0.255	4.421	3	2
47	37.980028	-5.763027	585.25	583.35	-1.90	0.00	-6.92	127.29	0	0	-231	0	-231	35.73	35.73	21.60	35.73	14.81	0.256	4.446	105	9
48	37.980084	-5.761581	574.25	574.56	0.31	0.00	-7.31	27.22	0	0	-270	0	-306	35.36	35.36	35.73	35.36	2.77	0.260	4.573	35	2
49	37.980141	-5.761280	572.25	572.58	0.33	0.00	-6.86	38.73	0	0	-225	0	-225	35.79	35.79	35.36	35.79	3.90	0.260	4.600	105	2
50	37.980313	-5.760897	569.75	569.92	0.17	0.00	-4.64	45.60	0	0	0	0	0	36.82	37.87	35.79	35.96	4.52	0.262	4.639	10	1
51	37.980648	-5.760597	567.00	567.81	0.81	0.00	-3.24	28.17	0	0	0	0	0	29.58	80.00	35.96	34.92	2.88	0.263	4.684	20	1
52	37.980895	-5.760524	565.75	566.90	1.15	0.00	0.41	127.78	0	0	105	45	0	18.41	80.00	34.92	20.73	18.13	0.264	4.713	2	9
53	37.982046	-5.760500	567.50	567.42	-0.08	0.00	0.05	47.03	0	0	101	83	0	19.73	80.00	20.73	19.73	8.54	0.269	4.840	204	2
54	37.982466	-5.760429	570.25	567.44	-2.81	0.00	-6.32	398.10	0	0	-167	0	-167	36.32	36.32	19.73	36.32	42.53	0.271	4.887	105	11
55	37.985912	-5.759204	544.75	542.35	-2.40	0.00	-5.87	184.24	0	0	-118	0	-118	36.73	36.73	36.32	36.73	18.06	0.283	5.285	105	2
56	37.987557	-5.758952	531.00	531.55	0.55	0.00	-4.35	57.67	0	0	0	0	0	35.42	38.13	36.73	36.46	5.75	0.288	5.470	20	1
57	37.988065	-5.758817	528.50	529.05	0.55	0.00	-6.12	72.71	0	0	-145	0	-146	36.50	36.50	36.46	36.46	7.18	0.289	5.527	5	1
58	37.988686	-5.758558	525.75	524.61	-1.14	0.00	-2.75	310.25	0	0	0	0	0	26.58	39.54	36.46	27.95	36.57	0.291	5.600	20	6
59	37.991289	-5.757273	516.00	516.07	0.07	0.00	-1.92	65.89	0	0	22	0	0	23.27	80.00	27.95	25.43	8.96	0.302	5.910	20	2
60	37.991855	-5.757047	514.50	514.81	0.31	0.00	-0.91	46.13	0	0	72	35	0	21.98	80.00	25.43	23.35	7.03	0.304	5.976	2	2
61	37.992269	-5.757001	514.50	514.39	-0.11	0.00	-4.63	63.27	0	0	0	11	0	36.77	37.88	23.35	29.22	8.51	0.306	6.022	1	4
62	37.992834	-5.757090	514.25	511.46	-2.79	0.00	-2.88	248.77	0	0	0	0	0	27.42	39.43	29.22	27.63	31.63	0.308	6.086	20	1
63	37.994943	-5.758046	503.75	504.29	0.54	0.00	-1.09	36.17	0	0	62	0	0	22.09	80.00	27.63	24.88	4.97	0.317	6.334	20	2
64	37.995261	-5.758136	503.00	503.90	0.90	0.00	3.95	38.38	0	0	130	54	0	9.70	80.00	24.88	13.54	7.72	0.319	6.371	2	7
65	37.995605	-5.758095	504.25	505.41	1.16	0.00	5.64	71.73	0	0	141	137	0	7.95	80.00	13.54	7.95	30.16	0.321	6.409	24	5
66	37.996221	-5.757852	510.00	509.45	-0.55	0.00	7.76	44.25	0	0	150	148	0	6.44	80.00	7.95	6.44	24.42	0.329	6.481	24	2
67	37.996617	-5.757895	512.75	512.88	0.13	0.00	3.56	135.43	0	0	127	130	0	10.26	80.00	6.44	10.26	48.56	0.336	6.525	14	4
